record_id,department,service_type,requests_received,requests_completed,pending_requests,response_time_hours,status
GOV001,Public Services,Document Service,120,108,12,18,Normal
GOV002,Public Services,Certificate Service,95,82,13,24,Normal
GOV003,Health Services,Appointment Service,180,145,35,30,Attention
GOV004,Transport,Permit Service,150,121,29,27,Attention
GOV005,Education,Application Service,210,198,12,16,Normal
GOV006,Public Services,Complaint Service,130,96,34,36,Attention
GOV007,Health Services,Registration Service,175,169,6,12,Normal
GOV008,Transport,License Service,220,181,39,42,Critical
GOV009,Education,Scholarship Service,160,149,11,20,Normal
GOV010,Public Services,Grievance Service,145,101,44,48,Critical
GOV011,Health Services,Health Card Service,190,174,16,19,Normal
GOV012,Transport,Vehicle Permit Service,135,110,25,29,Attention
